nearest_station_id,year,T_oa_celsius,RH_oa_pct,P_oa_pa
GHCND:USW00013776,2021,24.0,60.0,101325.0
GHCND:USW00013776,2022,24.388888888888893,60.0,101325.0
GHCND:USW00013776,2023,24.333333333333332,60.0,101325.0
GHCND:USW00013776,2024,24.777777777777775,60.0,101325.0
GHCND:USW00013781,2021,19.055555555555557,60.0,101325.0
GHCND:USW00013781,2022,19.055555555555557,60.0,101325.0
GHCND:USW00013781,2023,19.833333333333332,60.0,101325.0
GHCND:USW00013781,2024,19.27777777777778,60.0,101325.0
GHCND:USW00013786,2021,22.16666666666667,60.0,101325.0
GHCND:USW00013786,2022,21.999999999999996,60.0,101325.0
GHCND:USW00013786,2023,22.61111111111111,60.0,101325.0
GHCND:USW00013786,2024,22.444444444444446,60.0,101325.0
GHCND:USW00013833,2021,25.33333333333333,60.0,101325.0
GHCND:USW00013833,2022,26.11111111111111,60.0,101325.0
GHCND:USW00013833,2023,27.333333333333332,60.0,101325.0
GHCND:USW00013833,2024,27.277777777777775,60.0,101325.0
GHCND:USW00013839,2021,25.555555555555557,60.0,101325.0
GHCND:USW00013839,2022,26.22222222222222,60.0,101325.0
GHCND:USW00013839,2023,26.722222222222218,60.0,101325.0
GHCND:USW00013839,2024,26.666666666666668,60.0,101325.0
GHCND:USW00013865,2021,24.61111111111111,60.0,101325.0
GHCND:USW00013865,2022,25.666666666666668,60.0,101325.0
GHCND:USW00013865,2023,26.333333333333336,60.0,101325.0
GHCND:USW00013865,2024,26.055555555555557,60.0,101325.0
GHCND:USW00013866,2021,19.61111111111111,60.0,101325.0
GHCND:USW00013866,2022,19.27777777777778,60.0,101325.0
GHCND:USW00013866,2023,20.166666666666668,60.0,101325.0
GHCND:USW00013866,2024,21.333333333333336,60.0,101325.0
GHCND:USW00013870,2021,25.555555555555557,60.0,101325.0
GHCND:USW00013870,2022,26.555555555555557,60.0,101325.0
GHCND:USW00013870,2023,26.944444444444443,60.0,101325.0
GHCND:USW00013870,2024,26.5,60.0,101325.0
GHCND:USW00013871,2021,23.833333333333336,60.0,101325.0
GHCND:USW00013871,2022,23.77777777777778,60.0,101325.0
GHCND:USW00013871,2023,24.333333333333332,60.0,101325.0
GHCND:USW00013874,2021,23.111111111111107,60.0,101325.0
GHCND:USW00013874,2022,23.333333333333332,60.0,101325.0
GHCND:USW00013874,2023,23.944444444444443,60.0,101325.0
GHCND:USW00013874,2024,24.222222222222218,60.0,101325.0
GHCND:USW00013876,2021,23.666666666666664,60.0,101325.0
GHCND:USW00013876,2022,23.944444444444443,60.0,101325.0
GHCND:USW00013876,2023,24.66666666666667,60.0,101325.0
GHCND:USW00013876,2024,24.777777777777775,60.0,101325.0
GHCND:USW00013877,2021,21.055555555555557,60.0,101325.0
GHCND:USW00013877,2022,21.0,60.0,101325.0
GHCND:USW00013877,2023,21.333333333333336,60.0,101325.0
GHCND:USW00013877,2024,21.611111111111114,60.0,101325.0
GHCND:USW00013880,2021,24.72222222222222,60.0,101325.0
GHCND:USW00013880,2022,25.0,60.0,101325.0
GHCND:USW00013880,2023,26.0,60.0,101325.0
GHCND:USW00013880,2024,25.888888888888886,60.0,101325.0
GHCND:USW00013881,2021,23.22222222222222,60.0,101325.0
GHCND:USW00013881,2022,23.000000000000004,60.0,101325.0
GHCND:USW00013881,2023,23.22222222222222,60.0,101325.0
GHCND:USW00013881,2024,23.444444444444443,60.0,101325.0
GHCND:USW00013882,2021,22.83333333333333,60.0,101325.0
GHCND:USW00013882,2022,22.944444444444443,60.0,101325.0
GHCND:USW00013882,2023,23.555555555555557,60.0,101325.0
GHCND:USW00013882,2024,23.944444444444443,60.0,101325.0
GHCND:USW00013883,2021,24.388888888888893,60.0,101325.0
GHCND:USW00013883,2022,24.444444444444443,60.0,101325.0
GHCND:USW00013883,2023,24.833333333333332,60.0,101325.0
GHCND:USW00013883,2024,25.11111111111111,60.0,101325.0
GHCND:USW00013884,2021,26.444444444444443,60.0,101325.0
GHCND:USW00013884,2022,27.16666666666667,60.0,101325.0
GHCND:USW00013884,2023,27.555555555555554,60.0,101325.0
GHCND:USW00013884,2024,27.055555555555557,60.0,101325.0
GHCND:USW00013889,2021,26.38888888888889,60.0,101325.0
GHCND:USW00013889,2022,26.833333333333332,60.0,101325.0
GHCND:USW00013889,2023,27.666666666666668,60.0,101325.0
GHCND:USW00013889,2024,27.38888888888889,60.0,101325.0
GHCND:USW00013893,2021,22.722222222222225,60.0,101325.0
GHCND:USW00013893,2022,23.444444444444443,60.0,101325.0
GHCND:USW00013893,2023,23.61111111111111,60.0,101325.0
GHCND:USW00013893,2024,23.388888888888886,60.0,101325.0
GHCND:USW00013894,2021,25.055555555555554,60.0,101325.0
GHCND:USW00013894,2022,26.22222222222222,60.0,101325.0
GHCND:USW00013894,2023,27.444444444444446,60.0,101325.0
GHCND:USW00013894,2024,27.11111111111111,60.0,101325.0
GHCND:USW00013895,2021,25.500000000000004,60.0,101325.0
GHCND:USW00013895,2022,25.833333333333332,60.0,101325.0
GHCND:USW00013895,2023,26.444444444444443,60.0,101325.0
GHCND:USW00013895,2024,26.22222222222222,60.0,101325.0
GHCND:USW00013897,2021,22.277777777777775,60.0,101325.0
GHCND:USW00013897,2022,22.555555555555554,60.0,101325.0
GHCND:USW00013897,2023,23.111111111111107,60.0,101325.0
GHCND:USW00013897,2024,23.388888888888886,60.0,101325.0
GHCND:USW00013899,2021,25.777777777777782,60.0,101325.0
GHCND:USW00013899,2022,26.22222222222222,60.0,101325.0
GHCND:USW00013899,2023,27.11111111111111,60.0,101325.0
GHCND:USW00013899,2024,25.777777777777782,60.0,101325.0
GHCND:USW00013904,2021,26.555555555555557,60.0,101325.0
GHCND:USW00013904,2022,27.555555555555554,60.0,101325.0
GHCND:USW00013904,2023,28.111111111111107,60.0,101325.0
GHCND:USW00013904,2024,28.333333333333332,60.0,101325.0
GHCND:USW00013927,2021,24.88888888888889,60.0,101325.0
GHCND:USW00013927,2022,25.500000000000004,60.0,101325.0
GHCND:USW00013927,2023,26.11111111111111,60.0,101325.0
GHCND:USW00013927,2024,25.777777777777782,60.0,101325.0
GHCND:USW00013935,2021,25.833333333333332,60.0,101325.0
GHCND:USW00013935,2022,26.5,60.0,101325.0
GHCND:USW00013935,2023,27.77777777777778,60.0,101325.0
GHCND:USW00013935,2024,26.722222222222218,60.0,101325.0
GHCND:USW00013939,2021,24.222222222222218,60.0,101325.0
GHCND:USW00013939,2022,24.88888888888889,60.0,101325.0
GHCND:USW00013939,2023,25.38888888888889,60.0,101325.0
GHCND:USW00013939,2024,25.33333333333333,60.0,101325.0
GHCND:USW00013942,2021,25.11111111111111,60.0,101325.0
GHCND:USW00013942,2022,25.777777777777782,60.0,101325.0
GHCND:USW00013942,2023,26.722222222222218,60.0,101325.0
GHCND:USW00013942,2024,26.333333333333336,60.0,101325.0
GHCND:USW00013957,2021,25.777777777777782,60.0,101325.0
GHCND:USW00013957,2022,26.38888888888889,60.0,101325.0
GHCND:USW00013957,2023,27.22222222222222,60.0,101325.0
GHCND:USW00013957,2024,27.277777777777775,60.0,101325.0
GHCND:USW00013958,2021,27.333333333333332,60.0,101325.0
GHCND:USW00013958,2022,28.333333333333332,60.0,101325.0
GHCND:USW00013958,2023,28.555555555555557,60.0,101325.0
GHCND:USW00013958,2024,28.555555555555557,60.0,101325.0
GHCND:USW00013959,2021,26.055555555555557,60.0,101325.0
GHCND:USW00013959,2022,27.444444444444446,60.0,101325.0
GHCND:USW00013959,2023,26.944444444444443,60.0,101325.0
GHCND:USW00013959,2024,27.22222222222222,60.0,101325.0
GHCND:USW00013960,2021,25.33333333333333,60.0,101325.0
GHCND:USW00013960,2022,25.944444444444443,60.0,101325.0
GHCND:USW00013960,2023,26.444444444444443,60.0,101325.0
GHCND:USW00013960,2024,26.555555555555557,60.0,101325.0
GHCND:USW00013961,2021,24.555555555555557,60.0,101325.0
GHCND:USW00013961,2022,25.72222222222222,60.0,101325.0
GHCND:USW00013961,2023,26.444444444444443,60.0,101325.0
GHCND:USW00013961,2024,26.11111111111111,60.0,101325.0
GHCND:USW00013963,2021,22.88888888888889,60.0,101325.0
GHCND:USW00013963,2022,23.944444444444443,60.0,101325.0
GHCND:USW00013963,2023,24.777777777777775,60.0,101325.0
GHCND:USW00013963,2024,24.499999999999996,60.0,101325.0
GHCND:USW00013964,2021,23.333333333333332,60.0,101325.0
GHCND:USW00013964,2022,23.72222222222222,60.0,101325.0
GHCND:USW00013964,2023,24.388888888888893,60.0,101325.0
GHCND:USW00013964,2024,24.833333333333332,60.0,101325.0
GHCND:USW00013967,2021,22.11111111111111,60.0,101325.0
GHCND:USW00013967,2022,22.83333333333333,60.0,101325.0
GHCND:USW00013967,2023,23.000000000000004,60.0,101325.0
GHCND:USW00013967,2024,23.72222222222222,60.0,101325.0
GHCND:USW00013968,2021,22.666666666666668,60.0,101325.0
GHCND:USW00013968,2022,23.055555555555557,60.0,101325.0
GHCND:USW00013968,2023,23.166666666666668,60.0,101325.0
GHCND:USW00013968,2024,23.88888888888889,60.0,101325.0
GHCND:USW00013969,2021,22.555555555555554,60.0,101325.0
GHCND:USW00013969,2023,23.055555555555557,60.0,101325.0
GHCND:USW00013969,2024,23.833333333333336,60.0,101325.0
GHCND:USW00013970,2021,25.777777777777782,60.0,101325.0
GHCND:USW00013970,2022,26.722222222222218,60.0,101325.0
GHCND:USW00013970,2023,28.555555555555557,60.0,101325.0
GHCND:USW00013970,2024,28.333333333333332,60.0,101325.0
GHCND:USW00013972,2021,25.166666666666668,60.0,101325.0
GHCND:USW00013972,2022,26.166666666666664,60.0,101325.0
GHCND:USW00013972,2023,26.722222222222218,60.0,101325.0
GHCND:USW00013972,2024,26.555555555555557,60.0,101325.0
GHCND:USW00013975,2021,23.111111111111107,60.0,101325.0
GHCND:USW00013975,2022,23.833333333333336,60.0,101325.0
GHCND:USW00013975,2023,23.833333333333336,60.0,101325.0
GHCND:USW00013976,2021,25.944444444444443,60.0,101325.0
GHCND:USW00013976,2022,26.611111111111114,60.0,101325.0
GHCND:USW00013976,2023,28.111111111111107,60.0,101325.0
GHCND:USW00013976,2024,27.5,60.0,101325.0
GHCND:USW00013977,2021,24.72222222222222,60.0,101325.0
GHCND:USW00013977,2023,25.888888888888886,60.0,101325.0
GHCND:USW00013977,2024,26.5,60.0,101325.0
GHCND:USW00013978,2021,24.72222222222222,60.0,101325.0
GHCND:USW00013978,2022,25.11111111111111,60.0,101325.0
GHCND:USW00013978,2023,26.11111111111111,60.0,101325.0
GHCND:USW00013978,2024,25.888888888888886,60.0,101325.0
GHCND:USW00013985,2021,21.444444444444443,60.0,101325.0
GHCND:USW00013985,2022,21.833333333333332,60.0,101325.0
GHCND:USW00013985,2023,21.444444444444443,60.0,101325.0
GHCND:USW00013985,2024,22.277777777777775,60.0,101325.0
GHCND:USW00013987,2021,20.777777777777782,60.0,101325.0
GHCND:USW00013987,2022,21.27777777777778,60.0,101325.0
GHCND:USW00013987,2023,21.944444444444443,60.0,101325.0
GHCND:USW00013987,2024,22.5,60.0,101325.0
GHCND:USW00013993,2021,19.0,60.0,101325.0
GHCND:USW00013993,2022,17.72222222222222,60.0,101325.0
GHCND:USW00013993,2023,19.88888888888889,60.0,101325.0
GHCND:USW00013993,2024,20.666666666666668,60.0,101325.0
GHCND:USW00013994,2021,20.166666666666668,60.0,101325.0
GHCND:USW00013994,2022,19.88888888888889,60.0,101325.0
GHCND:USW00013994,2023,21.27777777777778,60.0,101325.0
GHCND:USW00013994,2024,21.555555555555557,60.0,101325.0
GHCND:USW00013995,2021,19.88888888888889,60.0,101325.0
GHCND:USW00013995,2022,20.166666666666668,60.0,101325.0
GHCND:USW00013995,2023,21.0,60.0,101325.0
GHCND:USW00013995,2024,21.38888888888889,60.0,101325.0
GHCND:USW00013996,2021,20.11111111111111,60.0,101325.0
GHCND:USW00013996,2022,20.38888888888889,60.0,101325.0
GHCND:USW00013996,2023,21.555555555555557,60.0,101325.0
