plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,T_oa_celsius,RH_oa_pct,P_oa_pa,state_water_intensity_L_per_MWh,estimated_WUE_liters_per_kwh,Simulated_Effectiveness,Simulated_WUE_Peak,Simulated_WUE_Mean,Simulated_WUE_Blended_10pct,Simulated_WUE_Blended_20pct,capacity_mw
1233,Fort Dodge,2024,KS,104891.0,321.6462877,353.5459378,31.90343548000001,55,Closed,RI,1,NG,37.7328,-99.9497,4A,A,Mixed-Humid,1.333534896,72.1,44.9,58.5,22.27777777777777,60.0,101325.0,1039.9325794543531,3.066481278,3.4483765878020622,3.5793428879603977,3.39364053665368,3.4122107717843515,3.430781006915024,149.0
1233,Fort Dodge,2022,KS,6244.0,13.31707238,15.66024117,2.34316879,53,Closed,RI,1,NG,37.7328,-99.9497,4A,A,Mixed-Humid,1.333534896,71.3,41.5,56.4,21.83333333333333,60.0,101325.0,879.1615838,2.132779049,3.4397670289267213,3.57378142649318,3.3867367678558025,3.4054412337195403,3.4241456995832777,149.0
1233,Fort Dodge,2023,KS,107336.0,300.5766956,322.978752,22.40584179,54,Closed,RI,1,NG,37.7328,-99.9497,4A,A,Mixed-Humid,1.333534896,70.6,43.3,57.0,21.444444444444443,60.0,101325.0,1173.459784020496,2.800334423,3.4323963180317354,3.5690023951441976,3.388687278772981,3.406718790410103,3.424750302047225,149.0
1233,Fort Dodge,2021,KS,910.0,7.51782426,8.60423693,1.08641267,52,Closed,RI,1,NG,37.7328,-99.9497,4A,A,Mixed-Humid,1.333534896,70.6,43.2,56.9,21.444444444444443,60.0,101325.0,788.8131603352771,8.261345341,3.4324514913465247,3.5690023951441976,3.388360988918608,3.406425129541167,3.4244892701637264,149.0
55218,Hinds Energy Facility,2021,MS,3488639.0,3320.864485,3638.59287315,317.7246029,20,Closed,RI,1,NG,32.378969,-90.219906,3A,A,Hot-Humid,0.173674303,76.8,56.4,66.6,24.88888888888889,60.0,101325.0,1368.6581713499852,0.951908319,3.5014874784340835,3.614344936765952,3.422474400184099,3.4416614538422845,3.4608485075004696,600.4
55218,Hinds Energy Facility,2022,MS,3069671.0,2901.51298,3138.525071,237.0196617,21,Closed,RI,1,NG,32.378969,-90.219906,3A,A,Hot-Humid,0.173674303,77.9,55.5,66.7,25.500000000000004,60.0,101325.0,1113.947101091546,0.94521953,3.5146892550637627,3.623163746022902,3.422854415107872,3.442885348199374,3.4629162812908776,600.4
55218,Hinds Energy Facility,2024,MS,3437594.0,4171.094069,4430.451435,259.38386402000003,23,Closed,RI,1,NG,32.378969,-90.219906,3A,A,Hot-Humid,0.173674303,78.4,57.5,68.0,25.777777777777786,60.0,101325.0,1101.6484788874882,1.213376003,3.520899316229212,3.627257749185507,3.427852856,3.4477933449768208,3.467733834333342,600.4
55218,Hinds Energy Facility,2023,MS,3310028.0,3063.717798,3391.606227,330.9508255,22,Closed,RI,1,NG,32.378969,-90.219906,3A,A,Hot-Humid,0.173674303,79.0,56.9,67.9,26.11111111111111,60.0,101325.0,1190.170189531418,0.925586671,3.5282898421057407,3.6322432156256728,3.4274644718805445,3.4479423462550574,3.4684202206295702,600.4
2706,Asheville,2022,NC,4014932.996,7149.3221673200005,7152.040092,0.37475559,3,Closed,RI,4,NG,35.4731,-82.5417,4A,A,Mixed-Humid,0.466937329,67.3,46.1,56.7,19.61111111111111,60.0,101325.0,623.1265088468831,1.78068281,3.233221093206001,3.3744624233483265,3.222460770734703,3.237660935996065,3.252861101257428,1011.5
2706,Asheville,2021,NC,3791743.051,3472.265743,3472.825984,0.57538232,57,Closed,RC,6,NG,35.4731,-82.5417,4A,A,Mixed-Humid,0.466937329,68.2,46.8,57.5,20.11111111111111,60.0,101325.0,591.7171606,0.915743946,3.4078954172666545,3.553206060378613,3.390326026645268,3.406614030018603,3.4229020333919373,1011.5
2706,Asheville,2023,NC,3878968.038,5992.001197,5992.334313,0.3028328,4,Closed,RI,4,NG,35.4731,-82.5417,4A,A,Mixed-Humid,0.466937329,69.5,47.5,58.5,20.83333333333333,60.0,101325.0,578.6749582,1.54474106,3.254161079050349,3.387917934373857,3.228102156201554,3.244083734018784,3.260065311836015,1011.5
2706,Asheville,2024,NC,3835288.03,6422.334176820001,7431.289787400001,1029.729941,5,Closed,RI,4,NG,35.4731,-82.5417,4A,A,Mixed-Humid,0.466937329,69.9,48.6,59.2,21.05555555555556,60.0,101325.0,453.3794956173031,1.674537643,3.2581308961641144,3.390439469210072,3.2303376222431868,3.2463478069398755,3.262357991636564,1011.5
10864,Archer Daniels Midland Cedar Rapids,2023,IA,942184.005,759.1109797600001,852.7393107,95.3166238,35,Closed,RI,2,SUB,41.9221,-91.6875,5A,A,Cold,0.1383025,62.3,40.6,51.4,16.833333333333332,60.0,101325.0,313.8059884881969,0.805692917,3.3519269982482136,3.517853637902319,3.371125943239869,3.385798712706114,3.4004714821723594,294.6
10864,Archer Daniels Midland Cedar Rapids,2022,IA,923791.997,771.8072449,852.5121861000001,80.6670871,34,Closed,RI,2,SUB,41.9221,-91.6875,5A,A,Cold,0.1383025,58.2,36.5,47.3,14.555555555555555,60.0,101325.0,278.79820189993904,0.835477302,3.316283176652389,3.495807826445251,3.3591147966351445,3.372784099616155,3.386453402597166,294.6
10864,Archer Daniels Midland Cedar Rapids,2021,IA,941677.0,1043.448267,1149.0990596,114.2588154,33,Closed,RI,2,SUB,41.9221,-91.6875,5A,A,Cold,0.1383025,59.5,39.1,49.3,15.27777777777778,60.0,101325.0,297.7589300870434,1.108074495,3.3272900829522336,3.5025956508429474,3.364890210463084,3.378660755,3.3924312985390563,294.6
10864,Archer Daniels Midland Cedar Rapids,2024,IA,1015542.998,940.7500932,1027.246712,86.5344726,36,Closed,RI,2,SUB,41.9221,-91.6875,5A,A,Cold,0.1383025,62.9,41.6,52.3,17.166666666666668,60.0,101325.0,263.1998697098873,0.926351809,3.357364803516198,3.521242715661156,3.3738544751170263,3.38859329917144,3.4033321232258524,294.6
50888,Northampton Generating Company LP,2024,PA,494556.004,1286.172541,1286.172541,0.0,29,Closed,RI,1,WC,40.6917,-75.4792,5A,A,Cold,0.176300101,64.4,43.9,54.2,18.000000000000004,60.0,101325.0,1028.331849,2.600661059,3.3712546462115167,3.5299105068592413,3.3797298643182088,3.394747928572312,3.4097659928264155,134.1
50888,Northampton Generating Company LP,2021,PA,62055.0,126.4213378,126.4213378,0.0,26,Closed,RI,1,WC,40.6917,-75.4792,5A,A,Cold,0.176300101,63.2,43.5,53.3,17.333333333333332,60.0,101325.0,1188.6384207251313,2.0372466,3.360113511211648,3.522953746185771,3.376926987433504,3.391529663308731,3.4061323391839573,134.1
50888,Northampton Generating Company LP,2023,PA,508907.997,777.3188019,777.3188019,0.0,28,Closed,RI,1,WC,40.6917,-75.4792,5A,A,Cold,0.176300101,64.0,43.3,53.6,17.77777777777778,60.0,101325.0,1089.5722832110791,1.527425009,3.367527700005811,3.527571306243141,3.3778572760260155,3.392828679047728,3.407800082069441,134.1
50888,Northampton Generating Company LP,2022,PA,427899.997,636.0018757400001,636.0018757400001,0.0,27,Closed,RI,1,WC,40.6917,-75.4792,5A,A,Cold,0.176300101,62.9,41.5,52.2,17.166666666666668,60.0,101325.0,1135.816208083482,1.486332975,3.357421008083897,3.521242715661156,3.373549602602037,3.388318913907949,3.403088225213861,134.1
2098,Lake Road (MO),2023,MO,51256.0,2.0403359900000004,1650.95357576,1648.9283814100002,72,Closed,RI,4,NG,39.7246,-94.8773,4A,A,Mixed-Humid,0.27376985,67.8,43.2,55.5,19.88888888888889,60.0,101325.0,762.6282873396681,0.039806774,3.4039344767655497,3.550658238017849,3.383843132106343,3.4005246426974933,3.4172061532886446,278.4
2098,Lake Road (MO),2022,MO,37497.0,279.0944939,1201.424782,922.3265027,71,Closed,RI,4,NG,39.7246,-94.8773,4A,A,Mixed-Humid,0.27376985,63.9,39.3,51.6,17.72222222222222,60.0,101325.0,608.829783,7.443115286,3.366590708879554,3.526989700620093,3.371729319691881,3.387255357784703,3.402781395877524,278.4
2098,Lake Road (MO),2021,MO,9549.0,0.10977689,592.1706134,592.0570511,70,Closed,RI,4,NG,39.7246,-94.8773,4A,A,Mixed-Humid,0.27376985,66.2,43.2,54.7,19.0,60.0,101325.0,442.7894572,0.011496166,3.3882769496351823,3.5406968444431413,3.381302736,3.3972421471610423,3.4131815579701645,278.4
2098,Lake Road (MO),2024,MO,54094.0,3.0245425900000003,1730.844654,1727.823897,73,Closed,RI,4,NG,39.7246,-94.8773,4A,A,Mixed-Humid,0.27376985,69.2,45.2,57.2,20.666666666666668,60.0,101325.0,811.6074049,0.055912718,3.418024196172364,3.5596799124669416,3.389341314335865,3.4063751741489727,3.4234090339620806,278.4
126,H Wilson Sundt Generating Station,2021,AZ,818629.0,1062.564587,1239.343234,177.157188,59,Closed,RI,2,NG,32.16,-110.9047,2B,B,Hot-Dry,1.058806803,85.8,57.9,71.9,29.88888888888889,60.0,101325.0,1543.692044522998,1.297980632,3.620347480534625,3.694959358657612,3.4435314540528217,3.468674244513301,3.493817035,528.9
126,H Wilson Sundt Generating Station,2022,AZ,937837.0,1346.0917960000002,1569.809527,223.717731,60,Closed,RI,2,NG,32.16,-110.9047,2B,B,Hot-Dry,1.058806803,85.2,57.2,71.2,29.55555555555556,60.0,101325.0,1649.279514148895,1.435315301,3.611534943713013,3.688918513187991,3.440638525777118,3.465466524518205,3.490294523259293,528.9
126,H Wilson Sundt Generating Station,2023,AZ,1390938.0,1789.741848,2088.4106970000003,298.668849,61,Closed,RI,2,NG,32.16,-110.9047,2B,B,Hot-Dry,1.058806803,85.9,58.1,72.0,29.944444444444443,60.0,101325.0,1487.918450667501,1.286715762,3.621797698153718,3.6959767232523424,3.443947656252855,3.469150562952804,3.4943534696527525,528.9
126,H Wilson Sundt Generating Station,2024,AZ,1805541.0,2240.96272,2614.204146,373.619967,62,Closed,RI,2,NG,32.16,-110.9047,2B,B,Hot-Dry,1.058806803,86.4,58.3,72.4,30.22222222222222,60.0,101325.0,1447.974905796489,1.241158589,3.629202059807599,3.7011096343863135,3.445619869160841,3.471168845683388,3.496717822205936,528.9
2049,Jack Watson,2023,MS,3271540.0,13827.82260966,234340.51888545003,221270.153,66,Closed,RI,2,NG,30.4392,-89.0286,2A,A,Hot-Humid,0.173674303,80.8,62.2,71.5,27.11111111111111,60.0,101325.0,1190.170189531418,4.226701373,3.551172997966677,3.647694956670356,3.441873983717376,3.4624560810126743,3.483038178307972,919.1
2049,Jack Watson,2021,MS,2155493.0,12607.47078,211212.86,198605.393,64,Closed,RI,2,NG,30.4392,-89.0286,2A,A,Hot-Humid,0.173674303,77.4,60.4,68.9,25.222222222222225,60.0,101325.0,1368.6581713499852,5.848996391,3.5087141601876013,3.619123588579447,3.431378092327932,3.450152641953083,3.468927191578235,919.1
2049,Jack Watson,2024,MS,2397023.0,9377.785464,194120.05688838003,184742.2374,67,Closed,RI,2,NG,30.4392,-89.0286,2A,A,Hot-Humid,0.173674303,80.2,62.1,71.1,26.77777777777778,60.0,101325.0,1101.6484788874882,3.912263447,3.543440042029929,3.6424597117634914,3.4402281511772594,3.4604513072358825,3.4806744632945064,919.1
2049,Jack Watson,2022,MS,2595782.0,13219.88576,213058.19813968003,199838.3086,65,Closed,RI,2,NG,30.4392,-89.0286,2A,A,Hot-Humid,0.173674303,78.5,59.6,69.1,25.83333333333333,60.0,101325.0,1113.947101091546,5.092833591,3.522045341871271,3.628083109763493,3.432168843154747,3.4517602698156216,3.4713516964764963,919.1
55294,Westbrook Energy Center Power Plant,2024,ME,3022422.0,1996.008839,2319.093582,322.9711812,23,Closed,RI,1,NG,43.6575,-70.375,6A,A,Cold,0.027245676,57.8,40.4,49.1,14.333333333333334,60.0,101325.0,552.2139849664051,0.660400447,3.312943423706549,3.4937552101709355,3.3643056323536413,3.377250590135371,3.3901955479171004,563.9
55294,Westbrook Energy Center Power Plant,2023,ME,2356897.0,1538.9584355000002,1860.680431,273.7608512,22,Closed,RI,1,NG,43.6575,-70.375,6A,A,Cold,0.027245676,57.1,40.5,48.8,13.944444444444445,60.0,101325.0,378.2801821091097,0.652959563,3.3070535703152286,3.490202778524033,3.3634317333067862,3.376108837828511,3.388785942350236,563.9
55294,Westbrook Energy Center Power Plant,2022,ME,2461720.0,1903.455564,2179.033412,269.1805051,21,Closed,RI,1,NG,43.6575,-70.375,6A,A,Cold,0.027245676,57.6,38.9,48.2,14.22222222222222,60.0,101325.0,483.09151825858,0.773221798,3.311205422942403,3.4927351143477945,3.361694524275904,3.374798583283093,3.3879026422902827,563.9
