plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
2718,G G Allen,2023,NC,80759.0,98.33359557,189083.20926943002,188984.87945927,66,Open,ON,5,BIT,35.1897,-81.0122,3A,A,Mixed-Humid,0.466937329,73.8,53.1,63.5,578.674958196594,435.2
62115,AES Alamitos Energy Center,2021,CA,2930114.0,0.0,0.0,0.0,1,Dry-Hybrid,DC,1,NG,33.767229,-118.100194,3B,B,Hot-Dry,1.509648074,73.7,55.8,64.7,180.6069952463169,678.0
62115,AES Alamitos Energy Center,2022,CA,3451862.0,0.0,0.0,0.0,2,Dry-Hybrid,DC,1,NG,33.767229,-118.100194,3B,B,Hot-Dry,1.509648074,76.1,57.3,66.7,175.26246227243382,678.0
62115,AES Alamitos Energy Center,2023,CA,2704033.0,0.0,0.0,0.0,3,Dry-Hybrid,DC,1,NG,33.767229,-118.100194,3B,B,Hot-Dry,1.509648074,74.0,56.9,65.4,196.1989634429307,678.0
62115,AES Alamitos Energy Center,2024,CA,2397914.0,0.0,0.0,0.0,4,Dry-Hybrid,DC,1,NG,33.767229,-118.100194,3B,B,Hot-Dry,1.509648074,74.3,57.2,65.8,177.1685916233332,678.0
6021,Craig (CO),2024,CO,4512996.012,9270.885485100001,9270.885485100001,0.0,45,Closed,RI,3,SUB,40.4627,-107.5912,6B,B,Cold,1.284841675,61.3,27.9,44.6,700.6470730621251,1427.6
6021,Craig (CO),2021,CO,7283839.956,14300.7111685,14300.7111685,0.0,42,Closed,RI,3,SUB,40.4627,-107.5912,6B,B,Cold,1.284841675,62.0,27.1,44.6,961.537772528365,1427.6
6021,Craig (CO),2023,CO,4710528.954,9471.5500692,9471.5500692,0.0,44,Closed,RI,3,SUB,40.4627,-107.5912,6B,B,Cold,1.284841675,57.9,25.1,41.5,776.843322188015,1427.6
55176,Eastman Cogeneration Facility,2022,TX,2221933.42,1067.4099118000001,1488.06359805,496.02119935,21,Closed,RI,1,NG,32.4481,-94.6903,3A,A,Hot-Humid,1.107253721,78.8,54.8,66.8,721.372033824905,467.7
55176,Eastman Cogeneration Facility,2024,TX,2726432.31,1015.0728331400001,1409.5163405500002,476.34085276,23,Closed,RI,1,NG,32.4481,-94.6903,3A,A,Hot-Humid,1.107253721,79.4,57.9,68.6,777.322845056421,467.7
55176,Eastman Cogeneration Facility,2021,TX,2125774.42,1024.2335253400001,1480.08016836,493.36005612,20,Closed,RI,1,NG,32.4481,-94.6903,3A,A,Hot-Humid,1.107253721,76.6,55.4,66.0,920.3527687577041,467.7
55270,Jackson Generating Station,2024,MI,1996822.0,1591.95039009,2386.06505612,794.10709521,22,Closed,RI,1,NG,42.2488,-84.3767,5A,A,Cold,0.105604749,61.4,41.8,51.6,1381.924819418998,649.0
55270,Jackson Generating Station,2022,MI,2204621.0,1984.72453169,2496.4400409,511.7117238000001,20,Closed,RI,1,NG,42.2488,-84.3767,5A,A,Cold,0.105604749,58.6,38.6,48.6,1476.414558637139,649.0
55270,Jackson Generating Station,2021,MI,2140898.0,1936.2977815600002,2404.24638035,467.94859879,19,Closed,RI,1,NG,42.2488,-84.3767,5A,A,Cold,0.105604749,60.6,41.0,50.8,592.1021720015771,649.0
3943,FirstEnergy Fort Martin Power Station,2024,WV,3860539.03,5006.00409827,9165.499670700001,3874.5147659900003,57,Closed,RN,2,BIT,39.710833,-79.9275,5A,A,Cold,0.164651456,67.7,47.2,57.5,1040.247493390368,1152.0
