plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw,predicted_ceiling_75,predicted_ceiling_90,excess_pct_75,excess_pct_90,overconsumer_75,overconsumer_90,excess_ratio,risk_score
60,Whelan Energy Center,2024,NE,1177284.018,1998.74569033,2776.32568548,777.5799951500001,43,Closed,RI,2,SUB,40.580872,-98.312437,5A,A,Cold,1.485507445,65.9,41.6,53.8,444.913221740163,324.3,2869.9860292723433,4323.5382825677025,-0.3035695400800393,-0.5377060269388972,False,False,0.0,0.0
55514,Apex Generating Station,2023,NV,2298718.0,0.0,0.0,0.0,20,Dry-Hybrid,DC,1,NG,36.415999,-114.960916,3B,B,Hot-Dry,1.147337025,79.4,59.1,69.2,185.42634134529845,600.6,128.49405141280556,658.6792768590818,-1.0,-1.0,False,False,0.0,0.0
55514,Apex Generating Station,2024,NV,2021687.0,0.0,0.0,0.0,21,Dry-Hybrid,DC,1,NG,36.415999,-114.960916,3B,B,Hot-Dry,1.147337025,82.5,62.0,72.2,129.9590356499035,600.6,119.45302416279915,641.7558702416783,-1.0,-1.0,False,False,0.0,0.0
55514,Apex Generating Station,2022,NV,2695780.0,0.0,0.0,0.0,19,Dry-Hybrid,DC,1,NG,36.415999,-114.960916,3B,B,Hot-Dry,1.147337025,81.0,59.8,70.4,222.3274702073298,600.6,145.33466564757902,736.8809374395727,-1.0,-1.0,False,False,0.0,0.0
55514,Apex Generating Station,2021,NV,2796245.0,0.0,0.0,0.0,18,Dry-Hybrid,DC,1,NG,36.415999,-114.960916,3B,B,Hot-Dry,1.147337025,82.1,60.9,71.5,245.7746010659658,600.6,150.91314976110095,768.2900599149038,-1.0,-1.0,False,False,0.0,0.0
55132,Tenaska Gateway Generating Station,2022,TX,3950403.0,3453.9973545000003,4378.470184700001,936.3590176,21,Closed,RI,1,NG,32.017826,-94.619743,3A,A,Hot-Humid,1.107253721,78.8,54.8,66.8,721.372033824905,939.6,3428.4478473272516,4637.16170047208,0.007452208203390514,-0.255148390846847,True,False,0.0,0.0
55132,Tenaska Gateway Generating Station,2024,TX,1512902.0,2019.137694,2487.0900782,467.9902383,23,Closed,RI,1,NG,32.017826,-94.619743,3A,A,Hot-Humid,1.107253721,79.4,57.9,68.6,777.322845056421,939.6,1858.1368300084612,2853.412187520504,0.08664639836604805,-0.2923778405269425,True,False,0.0,0.0
55132,Tenaska Gateway Generating Station,2021,TX,3267077.0,2776.4089645000004,3509.9078602000004,733.4988957,20,Closed,RI,1,NG,32.017826,-94.619743,3A,A,Hot-Humid,1.107253721,76.6,55.4,66.0,920.352768757704,939.6,3120.26799930432,4230.556958037517,-0.11020176307964079,-0.3437249534661911,False,False,0.0,0.0
60356,South Field Energy,2023,OH,8253298.0,5119.24842383,5973.86151248,854.61308865,2,Closed,RI,2,NG,40.63534,-80.678245,5A,A,Cold,0.184038037,63.7,45.0,54.4,1081.591549868622,1210.4,6229.646296583075,7074.772409951647,-0.17824412813968613,-0.27640804153232285,False,False,0.0,0.0
60356,South Field Energy,2024,OH,8597458.0,5921.46386726,7065.024872030001,1143.56100477,3,Closed,RI,2,NG,40.63534,-80.678245,5A,A,Cold,0.184038037,65.9,46.9,56.4,999.482999460377,1210.4,6400.4277483731485,7406.793101599592,-0.07483310490222946,-0.20053607735023887,False,False,0.0,0.0
60356,South Field Energy,2021,OH,2198702.0,1784.63532991,1982.97567227,198.8475873,0,Closed,RI,2,NG,40.63534,-80.678245,5A,A,Cold,0.184038037,62.3,44.1,53.2,1470.495016622536,1210.4,2762.867825144132,3541.296489322828,-0.35406416706999,-0.49605029251553556,False,False,0.0,0.0
60356,South Field Energy,2022,OH,8490504.0,4879.84395379,5865.47008254,984.92961331,1,Closed,RI,2,NG,40.63534,-80.678245,5A,A,Cold,0.184038037,60.9,42.1,51.5,1048.292438642655,1210.4,6165.70637579327,6809.474111233782,-0.20855070670436082,-0.28337432904846743,False,False,0.0,0.0
55062,Tenaska Frontier Generation Station,2022,TX,4312873.0,3512.1450375100003,3739.103079470001,227.10945836,22,Closed,RI,1,NG,30.5924,-95.9178,2A,A,Hot-Humid,1.107253721,82.0,59.6,70.8,721.372033824905,939.7,3750.10236309353,5207.794311130652,-0.06345355474169893,-0.3255983574459786,False,False,0.0,0.0
55062,Tenaska Frontier Generation Station,2023,TX,4173963.0,3624.57549992,3924.93264178,325.34841868,23,Closed,RI,1,NG,30.5924,-95.9178,2A,A,Hot-Humid,1.107253721,83.5,62.3,72.9,776.325582577331,939.7,3769.9480424902276,5339.3972079514815,-0.03856088755912997,-0.3211639144354634,False,False,0.0,0.0
55062,Tenaska Frontier Generation Station,2021,TX,2587046.0,2002.97777871,2135.84945512,132.87167641,21,Closed,RI,1,NG,30.5924,-95.9178,2A,A,Hot-Humid,1.107253721,80.1,60.3,70.2,920.352768757704,939.7,2761.837765255638,4001.4664699780965,-0.27476631541947116,-0.49943906971661717,False,False,0.0,0.0
55062,Tenaska Frontier Generation Station,2024,TX,4297007.0,3567.66564598,3884.3984715000006,317.12650816,24,Closed,RI,1,NG,30.5924,-95.9178,2A,A,Hot-Humid,1.107253721,82.6,62.3,72.4,777.322845056421,939.7,3829.074284599923,5379.32164289334,-0.068269409050453,-0.3367814972184702,False,False,0.0,0.0
